#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
 146000      1.60e+00    1.51e+00      5.52e-04    1.63e-03      8.08e-02    7.51e-02      9.13e-03    6.73e-03    3.5e-04
 147000      1.39e+00    1.47e+00      5.72e-04    1.37e-04      6.86e-02    7.70e-02      9.28e-03    4.16e-03    3.5e-04
 148000      1.48e+00    1.32e+00      1.69e-03    1.56e-03      7.37e-02    6.29e-02      6.19e-03    8.50e-03    3.5e-04
 149000      1.56e+00    1.44e+00      5.59e-04    1.94e-03      7.79e-02    7.03e-02      9.82e-03    6.32e-03    3.5e-04
 150000      1.62e+00    1.62e+00      1.77e-03    1.88e-03      7.80e-02    7.80e-02      1.18e-02    1.10e-02    3.4e-04
 151000      1.62e+00    1.59e+00      3.36e-03    2.31e-03      7.34e-02    7.45e-02      7.70e-03    1.09e-02    3.4e-04
 152000      1.56e+00    1.53e+00      5.70e-04    1.09e-03      7.96e-02    7.30e-02      9.25e-03    1.28e-02    3.4e-04
 153000      1.58e+00    1.53e+00      2.26e-03    1.88e-03      7.90e-02    7.24e-02      5.76e-03    1.15e-02    3.4e-04
 154000      1.34e+00    1.50e+00      1.70e-03    9.91e-05      6.78e-02    7.87e-02      5.02e-03    7.26e-03    3.4e-04
 155000      1.51e+00    1.49e+00      1.43e-03    2.01e-03      7.57e-02    7.41e-02      9.88e-03    8.03e-03    3.3e-04
 156000      1.44e+00    1.37e+00      1.75e-03    2.68e-04      7.37e-02    7.06e-02      6.19e-03    9.13e-03    3.3e-04
 157000      1.62e+00    1.47e+00      2.01e-03    1.97e-03      7.33e-02    7.45e-02      1.51e-02    6.64e-03    3.3e-04
 158000      1.39e+00    1.33e+00      1.33e-03    5.16e-04      6.90e-02    6.83e-02      9.75e-03    8.92e-03    3.3e-04
 159000      1.80e+00    1.66e+00      4.60e-03    3.21e-03      7.05e-02    7.95e-02      1.27e-02    6.03e-03    3.3e-04
 160000      1.52e+00    1.34e+00      1.46e-03    1.79e-03      7.36e-02    6.89e-02      1.33e-02    6.41e-03    3.2e-04
 161000      1.43e+00    1.54e+00      2.16e-03    2.04e-03      7.15e-02    7.61e-02      7.89e-03    1.07e-02    3.2e-04
 162000      1.37e+00    1.31e+00      4.17e-04    2.76e-04      7.36e-02    6.99e-02      7.46e-03    7.94e-03    3.2e-04
 163000      1.37e+00    1.32e+00      1.73e-03    8.69e-04      6.33e-02    7.17e-02      1.27e-02    4.63e-03    3.2e-04
 164000      1.39e+00    1.19e+00      1.06e-03    8.33e-04      7.28e-02    6.35e-02      8.46e-03    5.79e-03    3.2e-04
 165000      1.33e+00    1.49e+00      1.85e-03    4.01e-04      6.81e-02    7.68e-02      7.89e-03    1.26e-02    3.1e-04
 166000      1.35e+00    1.41e+00      1.39e-04    2.43e-04      7.24e-02    7.89e-02      9.13e-03    5.53e-03    3.1e-04
 167000      1.32e+00    1.32e+00      6.89e-04    3.60e-04      7.21e-02    7.06e-02      7.06e-03    8.87e-03    3.1e-04
 168000      1.53e+00    1.39e+00      6.56e-04    4.56e-04      7.76e-02    7.26e-02      1.38e-02    1.10e-02    3.1e-04
 169000      1.60e+00    1.58e+00      2.53e-03    3.37e-03      8.10e-02    7.36e-02      8.60e-03    8.62e-03    3.1e-04
 170000      1.24e+00    1.32e+00      4.68e-04    1.64e-03      6.95e-02    7.18e-02      6.47e-03    5.37e-03    3.0e-04
